5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
807,814,821,842,873,962,1042,1140,1165,1294,1437,1669,1828,2031,2135,2228,2303,2394,2480,2500
828,883,919,958,1022,1105,1196,1249,1422,1568,1786,1952,2077,2142,2208,2291,2359,2445,2459,2500
812,825,858,900,933,991,1107,1256,1422,1576,1775,1921,1997,2062,2196,2356,2392,2409,2468,2500
809,818,841,883,940,987,1092,1196,1298,1385,1494,1664,1816,1953,2048,2126,2203,2332,2441,2500
842,875,909,1033,1153,1308,1459,1535,1605,1735,1898,2051,2115,2227,2317,2337,2402,2427,2493,2500
852,906,993,1087,1200,1308,1418,1539,1680,1860,1976,2101,2176,2251,2314,2365,2432,2482,2495,2500
860,923,976,1067,1189,1298,1385,1505,1623,1793,1944,2034,2133,2167,2214,2293,2351,2410,2475,2500
868,916,966,1070,1181,1314,1473,1563,1629,1719,1885,1981,2104,2185,2215,2289,2337,2381,2475,2500
875,949,1016,1115,1206,1368,1472,1619,1760,1921,2037,2175,2243,2293,2362,2399,2427,2478,2492,2500
822,843,951,1032,1107,1186,1356,1453,1523,1648,1720,1901,1973,2070,2140,2163,2288,2454,2467,2500
